std multiplier,train branch,test branch,train label
0.1,8.260082004263872,8.13122152646634,8.932302032105436
0.01,6.461086339539524,6.364904165284934,5.340677765904687
0.001,5.00707311474831,4.935428705561102,3.8690935683285788
0.0001,4.2840122582449425,4.2239460451371516,2.9752336076309804
